Date,Room Id,is_sold,Market Segment,Rate,LOS,Booking Date,DBA
2024-04-17,112,1,Transient,101.0,2,2024-04-16,45.0
2024-04-17,113,0,,0.0,0,,
2024-04-17,114,1,Online TA,59.0,4,2024-04-16,5.0
2024-04-17,115,0,,0.0,0,,
2024-04-17,116,1,Group,96.0,3,2024-04-16,52.0
2024-04-17,117,1,Corporate,97.0,2,2024-04-17,58.0
2024-04-17,118,0,,0.0,0,,
2024-04-17,119,0,,0.0,0,,
2024-04-17,120,1,Retail,124.0,3,2024-04-17,83.0
2024-04-17,121,1,Offline TA/TO,91.0,4,2024-04-16,86.0
2024-04-17,122,1,Group,83.0,1,2024-04-17,16.0
2024-04-17,123,1,Group,76.0,1,2024-04-17,8.0
2024-04-17,124,1,Group,84.0,5,2024-04-16,71.0
2024-04-17,125,1,Offline TA/TO,145.0,5,2024-04-16,88.0
2024-04-17,126,0,,0.0,0,,
2024-04-17,127,1,Retail,152.0,5,2024-04-17,8.0
2024-04-17,128,1,Transient,106.0,2,2024-04-17,57.0
2024-04-17,129,1,Group,101.0,4,2024-04-17,78.0
2024-04-17,130,1,Transient,31.0,4,2024-04-17,33.0
2024-04-18,101,1,Offline TA/TO,100.0,3,2024-04-16,59.0
2024-04-18,102,1,Group,89.0,2,2024-04-17,79.0
2024-04-18,103,1,Online TA,139.0,4,2024-04-18,64.0
2024-04-18,104,1,Offline TA/TO,135.0,4,2024-04-16,63.0
2024-04-18,105,1,Online TA,41.0,3,2024-04-16,2.0
2024-04-18,106,0,,0.0,0,,
2024-04-18,107,0,,0.0,0,,
2024-04-18,108,1,Group,35.0,5,2024-04-17,36.0
2024-04-18,109,1,Transient,68.0,2,2024-04-17,25.0
2024-04-18,110,1,Online TA,138.0,5,2024-04-16,86.0
2024-04-18,111,0,,0.0,0,,
2024-04-18,112,1,Offline TA/TO,115.0,2,2024-04-18,9.0
2024-04-18,113,1,Group,103.0,3,2024-04-18,52.0
2024-04-18,114,1,Online TA,59.0,4,2024-04-16,4.0
2024-04-18,115,0,,0.0,0,,
2024-04-18,116,1,Group,96.0,3,2024-04-16,51.0
2024-04-18,117,1,Corporate,97.0,2,2024-04-17,57.0
2024-04-18,118,1,Corporate,75.0,3,2024-04-18,26.0
2024-04-18,119,1,Transient,90.0,5,2024-04-18,58.0
2024-04-18,120,1,Retail,124.0,3,2024-04-17,82.0
2024-04-18,121,1,Offline TA/TO,91.0,4,2024-04-16,85.0
2024-04-18,122,0,,0.0,0,,
2024-04-18,123,0,,0.0,0,,
2024-04-18,124,1,Group,84.0,5,2024-04-16,70.0
2024-04-18,125,1,Offline TA/TO,145.0,5,2024-04-16,87.0
2024-04-18,126,1,Group,53.0,4,2024-04-18,66.0
2024-04-18,127,1,Retail,152.0,5,2024-04-17,7.0
2024-04-18,128,1,Transient,106.0,2,2024-04-17,56.0
2024-04-18,129,1,Group,101.0,4,2024-04-17,77.0
2024-04-18,130,1,Transient,31.0,4,2024-04-17,32.0
2024-04-19,101,0,,0.0,0,,
2024-04-19,102,1,Online TA,113.0,5,2024-04-19,53.0
2024-04-19,103,1,Online TA,139.0,4,2024-04-18,63.0
2024-04-19,104,1,Offline TA/TO,135.0,4,2024-04-16,62.0
2024-04-19,105,1,Corporate,68.0,2,2024-04-19,50.0
2024-04-19,106,1,Retail,82.0,5,2024-04-19,10.0
2024-04-19,107,0,,0.0,0,,
2024-04-19,108,1,Group,35.0,5,2024-04-17,35.0
2024-04-19,109,0,,0.0,0,,
2024-04-19,110,1,Online TA,138.0,5,2024-04-16,85.0
2024-04-19,111,0,,0.0,0,,
2024-04-19,112,1,Offline TA/TO,115.0,2,2024-04-18,8.0
2024-04-19,113,1,Group,103.0,3,2024-04-18,51.0
2024-04-19,114,1,Online TA,59.0,4,2024-04-16,3.0
2024-04-19,115,0,,0.0,0,,
2024-04-19,116,1,Retail,129.0,2,2024-04-19,30.0
2024-04-19,117,0,,0.0,0,,
2024-04-19,118,1,Corporate,75.0,3,2024-04-18,25.0
2024-04-19,119,1,Transient,90.0,5,2024-04-18,57.0
2024-04-19,120,1,Retail,124.0,3,2024-04-17,81.0
2024-04-19,121,1,Offline TA/TO,91.0,4,2024-04-16,84.0
2024-04-19,122,0,,0.0,0,,
2024-04-19,123,0,,0.0,0,,
2024-04-19,124,1,Group,84.0,5,2024-04-16,69.0
2024-04-19,125,1,Offline TA/TO,145.0,5,2024-04-16,86.0
2024-04-19,126,1,Group,53.0,4,2024-04-18,65.0
2024-04-19,127,1,Retail,152.0,5,2024-04-17,6.0
2024-04-19,128,0,,0.0,0,,
2024-04-19,129,1,Group,101.0,4,2024-04-17,76.0
2024-04-19,130,1,Transient,31.0,4,2024-04-17,31.0
2024-04-20,101,0,,0.0,0,,
2024-04-20,102,1,Online TA,113.0,5,2024-04-19,52.0
2024-04-20,103,1,Online TA,139.0,4,2024-04-18,62.0
2024-04-20,104,1,Transient,71.0,1,2024-04-20,30.0
2024-04-20,105,1,Corporate,68.0,2,2024-04-19,49.0
2024-04-20,106,1,Retail,82.0,5,2024-04-19,9.0
2024-04-20,107,0,,0.0,0,,
2024-04-20,108,1,Group,35.0,5,2024-04-17,34.0
2024-04-20,109,0,,0.0,0,,
2024-04-20,110,1,Online TA,138.0,5,2024-04-16,84.0
2024-04-20,111,1,Online TA,148.0,1,2024-04-20,49.0
2024-04-20,112,0,,0.0,0,,
2024-04-20,113,1,Group,103.0,3,2024-04-18,50.0
2024-04-20,114,1,Corporate,71.0,5,2024-04-20,2.0
2024-04-20,115,1,Offline TA/TO,119.0,1,2024-04-20,15.0
2024-04-20,116,1,Retail,129.0,2,2024-04-19,29.0
2024-04-20,117,1,Offline TA/TO,74.0,2,2024-04-20,27.0
2024-04-20,118,1,Corporate,75.0,3,2024-04-18,24.0
2024-04-20,119,1,Transient,90.0,5,2024-04-18,56.0
2024-04-20,120,1,Online TA,146.0,5,2024-04-20,63.0
2024-04-20,121,0,,0.0,0,,
2024-04-20,122,0,,0.0,0,,
2024-04-20,123,1,Transient,96.0,4,2024-04-20,30.0
2024-04-20,124,1,Group,84.0,5,2024-04-16,68.0
2024-04-20,125,1,Offline TA/TO,145.0,5,2024-04-16,85.0
2024-04-20,126,1,Group,53.0,4,2024-04-18,64.0
2024-04-20,127,1,Retail,152.0,5,2024-04-17,5.0
2024-04-20,128,0,,0.0,0,,
2024-04-20,129,1,Group,101.0,4,2024-04-17,75.0
2024-04-20,130,1,Transient,31.0,4,2024-04-17,30.0
2024-04-21,101,1,Transient,130.0,4,2024-04-21,17.0
2024-04-21,102,1,Online TA,113.0,5,2024-04-19,51.0
2024-04-21,103,1,Online TA,139.0,4,2024-04-18,61.0
2024-04-21,104,1,Transient,53.0,5,2024-04-21,55.0
2024-04-21,105,0,,0.0,0,,
2024-04-21,106,1,Retail,82.0,5,2024-04-19,8.0
2024-04-21,107,1,Offline TA/TO,101.0,3,2024-04-21,86.0
2024-04-21,108,1,Group,35.0,5,2024-04-17,33.0
2024-04-21,109,0,,0.0,0,,
2024-04-21,110,1,Offline TA/TO,101.0,5,2024-04-21,77.0
2024-04-21,111,1,Corporate,87.0,2,2024-04-21,18.0
2024-04-21,112,0,,0.0,0,,
2024-04-21,113,1,Online TA,117.0,3,2024-04-21,47.0
2024-04-21,114,1,Corporate,71.0,5,2024-04-20,1.0
2024-04-21,115,1,Transient,164.0,1,2024-04-21,80.0
2024-04-21,116,0,,0.0,0,,
2024-04-21,117,1,Offline TA/TO,74.0,2,2024-04-20,26.0
2024-04-21,118,0,,0.0,0,,
2024-04-21,119,1,Transient,90.0,5,2024-04-18,55.0
2024-04-21,120,1,Online TA,146.0,5,2024-04-20,62.0
2024-04-21,121,0,,0.0,0,,
2024-04-21,122,1,Offline TA/TO,58.0,1,2024-04-21,4.0
2024-04-21,123,1,Transient,96.0,4,2024-04-20,29.0
2024-04-21,124,1,Retail,90.0,1,2024-04-21,4.0
2024-04-21,125,0,,0.0,0,,
2024-04-21,126,1,Group,53.0,4,2024-04-18,63.0
2024-04-21,127,1,Retail,152.0,5,2024-04-17,4.0
2024-04-21,128,1,Corporate,31.0,2,2024-04-21,3.0
2024-04-21,129,0,,0.0,0,,
2024-04-21,130,1,Offline TA/TO,117.0,2,2024-04-21,90.0
2024-04-22,101,1,Transient,130.0,4,2024-04-21,16.0
2024-04-22,102,1,Online TA,113.0,5,2024-04-19,50.0
2024-04-22,103,0,,0.0,0,,
2024-04-22,104,1,Transient,53.0,5,2024-04-21,54.0
2024-04-22,105,0,,0.0,0,,
2024-04-22,106,1,Retail,82.0,5,2024-04-19,7.0
2024-04-22,107,1,Offline TA/TO,101.0,3,2024-04-21,85.0
2024-04-22,108,1,Offline TA/TO,57.0,4,2024-04-22,47.0
2024-04-22,109,1,Retail,160.0,3,2024-04-22,68.0
2024-04-22,110,1,Offline TA/TO,101.0,5,2024-04-21,76.0
2024-04-22,111,1,Corporate,87.0,2,2024-04-21,17.0
2024-04-22,112,1,Retail,131.0,3,2024-04-22,51.0
2024-04-22,113,1,Online TA,117.0,3,2024-04-21,46.0
2024-04-22,114,1,Corporate,71.0,5,2024-04-20,0.0
2024-04-22,115,1,Corporate,43.0,5,2024-04-22,79.0
2024-04-22,116,0,,0.0,0,,
2024-04-22,117,1,Group,91.0,1,2024-04-22,40.0
2024-04-22,118,1,Offline TA/TO,84.0,4,2024-04-22,25.0
2024-04-22,119,1,Transient,90.0,5,2024-04-18,54.0
2024-04-22,120,1,Online TA,146.0,5,2024-04-20,61.0
2024-04-22,121,1,Online TA,119.0,5,2024-04-22,3.0
2024-04-22,122,0,,0.0,0,,
2024-04-22,123,1,Transient,96.0,4,2024-04-20,28.0
2024-04-22,124,0,,0.0,0,,
2024-04-22,125,1,Retail,146.0,1,2024-04-22,51.0
2024-04-22,126,0,,0.0,0,,
2024-04-22,127,1,Offline TA/TO,128.0,3,2024-04-22,7.0
2024-04-22,128,1,Corporate,31.0,2,2024-04-21,2.0
2024-04-22,129,1,Retail,104.0,1,2024-04-22,57.0
2024-04-22,130,1,Offline TA/TO,117.0,2,2024-04-21,89.0
2024-04-23,101,1,Transient,130.0,4,2024-04-21,15.0
2024-04-23,102,1,Online TA,113.0,5,2024-04-19,49.0
2024-04-23,103,1,Offline TA/TO,78.0,1,2024-04-23,86.0
2024-04-23,104,1,Transient,53.0,5,2024-04-21,53.0
2024-04-23,105,1,Offline TA/TO,81.0,4,2024-04-23,79.0
2024-04-23,106,1,Retail,82.0,5,2024-04-19,6.0
2024-04-23,107,1,Offline TA/TO,101.0,3,2024-04-21,84.0
2024-04-23,108,1,Offline TA/TO,57.0,4,2024-04-22,46.0
2024-04-23,109,1,Retail,160.0,3,2024-04-22,67.0
2024-04-23,110,1,Offline TA/TO,101.0,5,2024-04-21,75.0
2024-04-23,111,1,Retail,128.0,4,2024-04-23,9.0
2024-04-23,112,1,Retail,131.0,3,2024-04-22,50.0
2024-04-23,113,1,Online TA,117.0,3,2024-04-21,45.0
2024-04-23,114,1,Corporate,71.0,5,2024-04-20,-1.0
2024-04-23,115,1,Corporate,43.0,5,2024-04-22,78.0
2024-04-23,116,1,Corporate,101.0,4,2024-04-23,10.0
2024-04-23,117,0,,0.0,0,,
2024-04-23,118,1,Offline TA/TO,84.0,4,2024-04-22,24.0
2024-04-23,119,0,,0.0,0,,
2024-04-23,120,1,Online TA,146.0,5,2024-04-20,60.0
2024-04-23,121,1,Online TA,119.0,5,2024-04-22,2.0
2024-04-23,122,0,,0.0,0,,
2024-04-23,123,1,Transient,96.0,4,2024-04-20,27.0
2024-04-23,124,1,Retail,105.0,5,2024-04-23,38.0
2024-04-23,125,0,,0.0,0,,
2024-04-23,126,0,,0.0,0,,
2024-04-23,127,1,Offline TA/TO,128.0,3,2024-04-22,6.0
2024-04-23,128,1,Offline TA/TO,122.0,4,2024-04-23,88.0
2024-04-23,129,1,Retail,80.0,4,2024-04-23,16.0
2024-04-23,130,0,,0.0,0,,
2024-04-24,101,1,Transient,130.0,4,2024-04-21,14.0
2024-04-24,102,0,,0.0,0,,
2024-04-24,103,0,,0.0,0,,
2024-04-24,104,1,Transient,53.0,5,2024-04-21,52.0
2024-04-24,105,1,Offline TA/TO,81.0,4,2024-04-23,78.0
2024-04-24,106,1,Online TA,136.0,3,2024-04-24,27.0
2024-04-24,107,0,,0.0,0,,
2024-04-24,108,1,Offline TA/TO,57.0,4,2024-04-22,45.0
2024-04-24,109,1,Retail,160.0,3,2024-04-22,66.0
2024-04-24,110,1,Offline TA/TO,101.0,5,2024-04-21,74.0
2024-04-24,111,1,Retail,128.0,4,2024-04-23,8.0
2024-04-24,112,1,Retail,131.0,3,2024-04-22,49.0
2024-04-24,113,0,,0.0,0,,
2024-04-24,114,1,Corporate,71.0,5,2024-04-20,-2.0
2024-04-24,115,1,Corporate,43.0,5,2024-04-22,77.0
2024-04-24,116,1,Corporate,101.0,4,2024-04-23,9.0
2024-04-24,117,0,,0.0,0,,
2024-04-24,118,1,Offline TA/TO,84.0,4,2024-04-22,23.0
2024-04-24,119,0,,0.0,0,,
2024-04-24,120,1,Online TA,146.0,5,2024-04-20,59.0
2024-04-24,121,1,Online TA,119.0,5,2024-04-22,1.0
2024-04-24,122,1,Group,95.0,1,2024-04-24,31.0
2024-04-24,123,1,Online TA,142.0,1,2024-04-24,71.0
2024-04-24,124,1,Retail,105.0,5,2024-04-23,37.0
2024-04-24,125,0,,0.0,0,,
2024-04-24,126,0,,0.0,0,,
2024-04-24,127,1,Offline TA/TO,128.0,3,2024-04-22,5.0
2024-04-24,128,1,Offline TA/TO,122.0,4,2024-04-23,87.0
2024-04-24,129,1,Retail,80.0,4,2024-04-23,15.0
2024-04-24,130,1,Transient,112.0,4,2024-04-24,62.0
2024-04-25,101,1,Retail,107.0,3,2024-04-25,50.0
2024-04-25,102,1,Corporate,35.0,2,2024-04-25,28.0
2024-04-25,103,1,Corporate,46.0,1,2024-04-25,88.0
2024-04-25,104,1,Transient,53.0,5,2024-04-21,51.0
2024-04-25,105,1,Offline TA/TO,81.0,4,2024-04-23,77.0
2024-04-25,106,1,Online TA,136.0,3,2024-04-24,26.0
2024-04-25,107,1,Offline TA/TO,79.0,1,2024-04-25,3.0
2024-04-25,108,1,Offline TA/TO,57.0,4,2024-04-22,44.0
2024-04-25,109,1,Transient,104.0,5,2024-04-25,32.0
2024-04-25,110,1,Offline TA/TO,101.0,5,2024-04-21,73.0
2024-04-25,111,1,Retail,128.0,4,2024-04-23,7.0
2024-04-25,112,1,Transient,172.0,5,2024-04-25,36.0
2024-04-25,113,0,,0.0,0,,
2024-04-25,114,0,,0.0,0,,
2024-04-25,115,1,Corporate,43.0,5,2024-04-22,76.0
2024-04-25,116,1,Corporate,101.0,4,2024-04-23,8.0
2024-04-25,117,1,Group,94.0,4,2024-04-25,8.0
2024-04-25,118,1,Offline TA/TO,84.0,4,2024-04-22,22.0
2024-04-25,119,1,Corporate,93.0,2,2024-04-25,65.0
2024-04-25,120,0,,0.0,0,,
2024-04-25,121,1,Online TA,119.0,5,2024-04-22,0.0
2024-04-25,122,1,Retail,213.0,4,2024-04-25,37.0
2024-04-25,123,1,Online TA,70.0,2,2024-04-25,13.0
2024-04-25,124,1,Retail,105.0,5,2024-04-23,36.0
2024-04-25,125,1,Offline TA/TO,59.0,4,2024-04-25,51.0
2024-04-25,126,0,,0.0,0,,
2024-04-25,127,0,,0.0,0,,
2024-04-25,128,1,Offline TA/TO,122.0,4,2024-04-23,86.0
2024-04-25,129,1,Retail,80.0,4,2024-04-23,14.0
2024-04-25,130,1,Transient,112.0,4,2024-04-24,61.0
2024-04-26,101,1,Retail,107.0,3,2024-04-25,49.0
2024-04-26,102,1,Corporate,35.0,2,2024-04-25,27.0
2024-04-26,103,1,Transient,82.0,1,2024-04-26,34.0
2024-04-26,104,0,,0.0,0,,
2024-04-26,105,1,Offline TA/TO,81.0,4,2024-04-23,76.0
2024-04-26,106,1,Online TA,136.0,3,2024-04-24,25.0
2024-04-26,107,1,Transient,129.0,3,2024-04-26,27.0
2024-04-26,108,1,Offline TA/TO,93.0,2,2024-04-26,37.0
2024-04-26,109,1,Transient,104.0,5,2024-04-25,31.0
2024-04-26,110,1,Corporate,65.0,3,2024-04-26,33.0
2024-04-26,111,1,Retail,128.0,4,2024-04-23,6.0
2024-04-26,112,1,Transient,172.0,5,2024-04-25,35.0
2024-04-26,113,0,,0.0,0,,
2024-04-26,114,1,Online TA,116.0,3,2024-04-26,61.0
2024-04-26,115,1,Corporate,43.0,5,2024-04-22,75.0
2024-04-26,116,1,Corporate,101.0,4,2024-04-23,7.0
2024-04-26,117,1,Group,94.0,4,2024-04-25,7.0
2024-04-26,118,1,Retail,136.0,2,2024-04-26,4.0
2024-04-26,119,1,Corporate,93.0,2,2024-04-25,64.0
2024-04-26,120,1,Corporate,52.0,3,2024-04-26,34.0
2024-04-26,121,1,Online TA,119.0,5,2024-04-22,-1.0
2024-04-26,122,1,Retail,213.0,4,2024-04-25,36.0
2024-04-26,123,1,Online TA,70.0,2,2024-04-25,12.0
2024-04-26,124,1,Retail,105.0,5,2024-04-23,35.0
2024-04-26,125,1,Offline TA/TO,59.0,4,2024-04-25,50.0
2024-04-26,126,0,,0.0,0,,
2024-04-26,127,0,,0.0,0,,
2024-04-26,128,1,Offline TA/TO,122.0,4,2024-04-23,85.0
2024-04-26,129,1,Retail,80.0,4,2024-04-23,13.0
2024-04-26,130,1,Transient,112.0,4,2024-04-24,60.0
2024-04-27,101,1,Retail,107.0,3,2024-04-25,48.0
2024-04-27,102,0,,0.0,0,,
2024-04-27,103,0,,0.0,0,,
2024-04-27,104,0,,0.0,0,,
2024-04-27,105,0,,0.0,0,,
2024-04-27,106,1,Retail,200.0,4,2024-04-27,53.0
2024-04-27,107,1,Transient,129.0,3,2024-04-26,26.0
2024-04-27,108,1,Offline TA/TO,93.0,2,2024-04-26,36.0
2024-04-27,109,1,Transient,104.0,5,2024-04-25,30.0
2024-04-27,110,1,Corporate,65.0,3,2024-04-26,32.0
2024-04-27,111,0,,0.0,0,,
2024-04-27,112,1,Transient,172.0,5,2024-04-25,34.0
2024-04-27,113,1,Corporate,81.0,2,2024-04-27,59.0
2024-04-27,114,1,Online TA,116.0,3,2024-04-26,60.0
2024-04-27,115,1,Retail,101.0,2,2024-04-27,19.0
2024-04-27,116,0,,0.0,0,,
2024-04-27,117,1,Group,94.0,4,2024-04-25,6.0
2024-04-27,118,1,Retail,136.0,2,2024-04-26,3.0
2024-04-27,119,0,,0.0,0,,
2024-04-27,120,1,Corporate,52.0,3,2024-04-26,33.0
2024-04-27,121,0,,0.0,0,,
2024-04-27,122,1,Retail,213.0,4,2024-04-25,35.0
2024-04-27,123,1,Retail,116.0,1,2024-04-27,5.0
2024-04-27,124,1,Retail,105.0,5,2024-04-23,34.0
2024-04-27,125,1,Offline TA/TO,59.0,4,2024-04-25,49.0
2024-04-27,126,1,Retail,77.0,1,2024-04-27,70.0
2024-04-27,127,0,,0.0,0,,
2024-04-27,128,1,Transient,110.0,4,2024-04-27,4.0
2024-04-27,129,1,Online TA,41.0,4,2024-04-27,7.0
2024-04-27,130,1,Transient,112.0,4,2024-04-24,59.0
2024-04-28,101,1,Retail,149.0,2,2024-04-28,78.0
2024-04-28,102,0,,0.0,0,,
2024-04-28,103,1,Group,121.0,1,2024-04-28,72.0
2024-04-28,104,0,,0.0,0,,
2024-04-28,105,0,,0.0,0,,
2024-04-28,106,1,Retail,200.0,4,2024-04-27,52.0
2024-04-28,107,1,Transient,129.0,3,2024-04-26,25.0
2024-04-28,108,1,Corporate,115.0,1,2024-04-28,23.0
2024-04-28,109,1,Transient,104.0,5,2024-04-25,29.0
2024-04-28,110,1,Corporate,65.0,3,2024-04-26,31.0
2024-04-28,111,1,Offline TA/TO,74.0,4,2024-04-28,57.0
2024-04-28,112,1,Transient,172.0,5,2024-04-25,33.0
2024-04-28,113,1,Corporate,81.0,2,2024-04-27,58.0
2024-04-28,114,1,Online TA,116.0,3,2024-04-26,59.0
2024-04-28,115,1,Retail,101.0,2,2024-04-27,18.0
2024-04-28,116,1,Corporate,110.0,5,2024-04-28,22.0
2024-04-28,117,1,Group,94.0,4,2024-04-25,5.0
2024-04-28,118,1,Retail,95.0,1,2024-04-28,19.0
2024-04-28,119,1,Group,86.0,4,2024-04-28,7.0
2024-04-28,120,1,Corporate,52.0,3,2024-04-26,32.0
2024-04-28,121,1,Transient,94.0,3,2024-04-28,83.0
2024-04-28,122,1,Retail,213.0,4,2024-04-25,34.0
2024-04-28,123,0,,0.0,0,,
2024-04-28,124,1,Offline TA/TO,88.0,3,2024-04-28,16.0
2024-04-28,125,1,Offline TA/TO,59.0,4,2024-04-25,48.0
2024-04-28,126,1,Group,100.0,3,2024-04-28,39.0
2024-04-28,127,1,Online TA,67.0,1,2024-04-28,56.0
2024-04-28,128,1,Transient,110.0,4,2024-04-27,3.0
2024-04-28,129,1,Online TA,41.0,4,2024-04-27,6.0
2024-04-28,130,1,Retail,50.0,3,2024-04-28,82.0
2024-04-29,101,1,Retail,149.0,2,2024-04-28,77.0
2024-04-29,102,0,,0.0,0,,
2024-04-29,103,1,Offline TA/TO,55.0,1,2024-04-29,78.0
2024-04-29,104,0,,0.0,0,,
2024-04-29,105,1,Transient,65.0,2,2024-04-29,48.0
2024-04-29,106,1,Retail,200.0,4,2024-04-27,51.0
2024-04-29,107,1,Group,89.0,1,2024-04-29,18.0
2024-04-29,108,1,Group,124.0,3,2024-04-29,90.0
2024-04-29,109,1,Transient,104.0,5,2024-04-25,28.0
2024-04-29,110,0,,0.0,0,,
2024-04-29,111,1,Offline TA/TO,74.0,4,2024-04-28,56.0
2024-04-29,112,1,Transient,172.0,5,2024-04-25,32.0
2024-04-29,113,1,Corporate,91.0,5,2024-04-29,65.0
2024-04-29,114,1,Offline TA/TO,111.0,3,2024-04-29,49.0
2024-04-29,115,1,Group,57.0,3,2024-04-29,5.0
2024-04-29,116,1,Corporate,110.0,5,2024-04-28,21.0
2024-04-29,117,0,,0.0,0,,
2024-04-29,118,0,,0.0,0,,
2024-04-29,119,1,Group,86.0,4,2024-04-28,6.0
2024-04-29,120,0,,0.0,0,,
2024-04-29,121,1,Transient,94.0,3,2024-04-28,82.0
2024-04-29,122,1,Online TA,125.0,1,2024-04-29,69.0
2024-04-29,123,0,,0.0,0,,
2024-04-29,124,1,Offline TA/TO,88.0,3,2024-04-28,15.0
2024-04-29,125,1,Transient,83.0,2,2024-04-29,55.0
2024-04-29,126,1,Group,100.0,3,2024-04-28,38.0
2024-04-29,127,1,Online TA,119.0,2,2024-04-29,60.0
2024-04-29,128,1,Transient,110.0,4,2024-04-27,2.0
2024-04-29,129,1,Online TA,41.0,4,2024-04-27,5.0
2024-04-29,130,1,Retail,50.0,3,2024-04-28,81.0
2024-04-30,101,1,Group,63.0,2,2024-04-30,47.0
2024-04-30,102,0,,0.0,0,,
2024-04-30,103,0,,0.0,0,,
2024-04-30,104,0,,0.0,0,,
2024-04-30,105,1,Transient,65.0,2,2024-04-29,47.0
2024-04-30,106,1,Retail,200.0,4,2024-04-27,50.0
2024-04-30,107,1,Online TA,136.0,4,2024-04-30,5.0
2024-04-30,108,1,Group,124.0,3,2024-04-29,89.0
2024-04-30,109,0,,0.0,0,,
2024-04-30,110,1,Offline TA/TO,102.0,4,2024-04-30,5.0
2024-04-30,111,1,Offline TA/TO,74.0,4,2024-04-28,55.0
2024-04-30,112,1,Offline TA/TO,117.0,5,2024-04-30,4.0
2024-04-30,113,1,Corporate,91.0,5,2024-04-29,64.0
2024-04-30,114,1,Offline TA/TO,111.0,3,2024-04-29,48.0
2024-04-30,115,1,Group,57.0,3,2024-04-29,4.0
2024-04-30,116,1,Corporate,110.0,5,2024-04-28,20.0
2024-04-30,117,1,Group,105.0,4,2024-04-30,27.0
2024-04-30,118,1,Corporate,67.0,4,2024-04-30,30.0
2024-04-30,119,1,Group,86.0,4,2024-04-28,5.0
2024-04-30,120,1,Group,97.0,2,2024-04-30,49.0
2024-04-30,121,1,Transient,94.0,3,2024-04-28,81.0
2024-04-30,122,1,Group,134.0,4,2024-04-30,26.0
2024-04-30,123,1,Transient,160.0,4,2024-04-30,12.0
2024-04-30,124,1,Offline TA/TO,88.0,3,2024-04-28,14.0
2024-04-30,125,1,Transient,83.0,2,2024-04-29,54.0
2024-04-30,126,1,Group,100.0,3,2024-04-28,37.0
2024-04-30,127,1,Online TA,119.0,2,2024-04-29,59.0
2024-04-30,128,1,Transient,110.0,4,2024-04-27,1.0
2024-04-30,129,1,Online TA,41.0,4,2024-04-27,4.0
2024-04-30,130,1,Retail,50.0,3,2024-04-28,80.0
2024-05-01,101,1,Group,63.0,2,2024-04-30,46.0
2024-05-01,102,0,,0.0,0,,
2024-05-01,103,1,Group,60.0,1,2024-05-01,0.0
2024-05-01,104,1,Online TA,153.0,2,2024-05-01,41.0
2024-05-01,105,0,,0.0,0,,
2024-05-01,106,0,,0.0,0,,
2024-05-01,107,1,Online TA,136.0,4,2024-04-30,4.0
2024-05-01,108,1,Group,124.0,3,2024-04-29,88.0
2024-05-01,109,1,Offline TA/TO,56.0,5,2024-05-01,63.0
2024-05-01,110,1,Offline TA/TO,102.0,4,2024-04-30,4.0
2024-05-01,111,1,Offline TA/TO,74.0,4,2024-04-28,54.0
2024-05-01,112,1,Offline TA/TO,117.0,5,2024-04-30,3.0
2024-05-01,113,1,Corporate,91.0,5,2024-04-29,63.0
